CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
228,Female,20,144,64
229,Female,37,49,98
230,Female,53,95,59
231,Male,36,104,56
232,Male,43,22,59
233,Female,20,107,70
234,Female,36,104,33
235,Female,37,129,53
236,Male,49,119,22
237,Female,24,149,21
238,Male,69,72,70
239,Male,58,128,70
240,Male,50,89,4
241,Male,57,134,94
242,Male,56,35,75
243,Female,35,115,62
244,Female,57,113,62
245,Female,18,50,94
246,Female,28,110,95
247,Female,45,51,24
248,Male,42,26,55
249,Female,67,127,9
250,Female,40,27,3
251,Male,48,37,31
252,Female,47,113,40
253,Male,59,119,36
254,Female,52,44,24
255,Male,24,31,95
256,Female,33,127,6
257,Female,43,76,66
258,Male,65,98,84
259,Male,69,126,92
260,Male,66,100,75
261,Male,19,33,4
262,Male,18,114,79
263,Male,65,90,6
264,Male,29,23,94
265,Male,22,42,51
266,Female,54,142,62
267,Female,49,66,57
268,Male,26,97,66
269,Female,58,125,79
270,Female,52,131,75
271,Female,36,83,8
272,Female,65,113,26
273,Male,33,39,51
274,Female,20,137,45
275,Male,37,67,44
276,Female,41,71,5
277,Female,50,53,70
278,Female,41,123,26
279,Male,69,56,68
280,Female,28,136,19
281,Male,66,147,84
282,Female,25,89,97
283,Male,53,90,20
284,Female,55,23,12
285,Male,57,88,47
286,Male,37,21,1
287,Female,52,41,90
288,Male,65,136,14
289,Female,42,19,64
290,Female,52,43,38
291,Female,42,97,37
292,Female,46,123,11
293,Female,35,79,100
294,Female,63,100,77
295,Female,35,85,3
296,Female,19,59,33
297,Female,52,146,6
298,Female,33,50,50
299,Female,58,84,10
300,Male,53,33,5
301,Male,50,122,23
302,Female,21,105,10
303,Female,50,104,44
304,Female,31,33,2
305,Female,38,53,13
306,Female,65,140,40
307,Female,37,140,2
308,Female,25,72,84
309,Female,24,75,65
310,Male,20,141,63
311,Female,34,119,73
312,Male,50,15,17
313,Female,65,145,9
314,Female,29,106,75
315,Male,68,127,15
316,Female,39,70,24
317,Male,39,131,38
318,Female,63,148,35
319,Female,47,72,94
320,Male,55,58,95
321,Female,55,75,49
322,Male,62,61,69
323,Female,68,94,62
324,Male,25,132,60
325,Male,44,34,50
326,Female,44,61,78
327,Female,51,63,75
328,Male,38,28,9
329,Female,47,15,34
330,Female,50,131,76
331,Female,45,68,99
332,Male,64,132,35
333,Male,50,17,1
334,Male,22,26,40
335,Male,65,88,64
336,Male,36,30,22
337,Male,21,116,60
338,Male,52,131,64
339,Male,66,22,93
340,Male,34,136,72
341,Female,61,106,11
342,Male,45,104,14
343,Female,47,74,60
344,Female,46,42,30
345,Female,63,115,35
346,Male,23,55,85
347,Male,52,60,37
348,Male,58,49,5
349,Male,54,148,83
350,Female,41,96,78
351,Male,46,129,26
352,Male,66,61,62
353,Male,63,24,4
354,Male,48,70,89
355,Male,52,44,42
356,Female,50,123,89
357,Male,69,19,18
358,Female,38,133,40
359,Male,49,47,72
360,Female,40,132,39
361,Male,50,79,14
362,Male,20,25,32
363,Female,35,99,51
364,Female,42,40,38
365,Female,59,77,97
366,Male,48,100,23
367,Female,20,73,63
368,Male,57,41,15
369,Male,63,112,97
370,Female,41,119,25
371,Female,67,113,17
372,Male,49,143,97
373,Male,64,69,66
374,Female,39,20,78
375,Female,40,109,53
376,Female,19,147,51
377,Male,44,116,39
378,Male,59,17,51
379,Male,19,37,70
380,Male,43,67,6
381,Male,34,97,67
382,Male,57,99,7
383,Female,50,92,51
384,Male,26,124,72
385,Male,60,15,42
386,Male,65,65,64
387,Female,56,18,15
388,Male,46,127,29
389,Male,59,46,33
390,Female,43,48,94
391,Male,52,106,27
392,Male,67,109,36
393,Male,42,86,29
394,Male,41,53,38
395,Male,30,132,57
396,Female,24,17,97
397,Female,53,137,27
398,Female,62,64,55
399,Male,37,26,33
400,Male,18,68,68
401,Male,25,147,86
402,Female,63,71,66
403,Male,33,126,10
404,Male,31,61,5
405,Female,29,99,74
406,Male,68,80,97
407,Female,40,89,38
408,Female,32,117,13
409,Female,45,52,31
410,Male,51,64,47
411,Male,19,112,100
412,Male,49,96,88
413,Male,40,44,52
414,Male,39,93,56
415,Male,68,105,15
416,Male,42,66,29
417,Female,39,93,8
418,Male,39,44,5
419,Female,66,120,29
420,Male,69,65,47
421,Male,59,95,68
422,Male,23,147,76
423,Female,32,43,45
424,Female,60,146,2
425,Female,54,88,27
426,Female,50,31,95
427,Male,25,98,36
428,Female,61,83,36
429,Male,61,48,26
430,Male,22,20,43
431,Female,56,67,27
432,Female,21,140,69
433,Female,23,57,20
434,Female,62,129,11
435,Female,49,125,74
436,Female,69,94,38
437,Female,47,109,6
438,Female,64,132,72
439,Male,52,22,23
440,Female,57,146,47
441,Female,69,118,90
442,Male,33,146,46
443,Female,30,39,12
444,Male,67,110,90
445,Male,59,107,13
446,Female,47,75,62
447,Male,36,136,82
448,Male,34,65,89
449,Male,36,35,97
450,Male,45,19,60
451,Female,43,106,43
452,Male,54,75,76
453,Female,43,36,100
454,Male,40,84,68
455,Male,26,15,5
456,Male,29,147,37
457,Male,18,26,72
458,Female,18,104,92
459,Female,64,60,31
460,Male,51,48,9
461,Male,49,92,51
462,Female,65,59,29
463,Male,42,87,78
464,Male,57,40,40
465,Male,62,61,41
466,Female,18,135,86
467,Female,33,70,11
468,Female,56,108,23
469,Male,22,121,1
470,Male,39,77,46
471,Female,46,62,21
472,Female,20,75,90
473,Female,29,95,36
474,Female,43,40,54
475,Male,33,50,87
476,Female,68,15,57
477,Male,54,22,1
478,Female,39,127,63
479,Male,46,113,54
480,Female,31,61,55
481,Female,45,141,40
482,Female,22,70,15
483,Female,64,28,21
484,Male,66,42,47
485,Female,47,92,73
486,Male,63,144,53
487,Male,69,123,9
488,Male,22,28,74
489,Male,29,70,52
490,Female,33,129,57
491,Male,43,21,26
492,Male,43,17,41
493,Male,65,125,35
494,Female,38,121,63
495,Female,56,32,25
496,Female,53,52,90
497,Female,50,129,75
498,Male,47,29,38
499,Male,54,133,2
500,Female,40,42,7
